Nome Spazio,Categoria,Indirizzo,Circoscrizione,Telefono,Email,Sito Web,Orario Lunedì,Orario Martedì,Orario Mercoledì,Orario Giovedì,Orario Venerdì,Orario Sabato,Orario Domenica,Silenzio,WiFi,Prese di Corrente,Tavoli,Sedie,Bar,Bagni,Parcheggio,Accesso Disabili,Accesso 24/7
Convitto Cafè,Caffetterie e Locali Study-Friendly,"Via San Francesco da Paola, 8, 10123 Torino",Centro,+39 011 815 4070,ciaoconvitto@gmail.com,https://www.convittocafe.it/,8:30 - 19:30,8:30 - 19:30,8:30 - 19:30,8:30 - 19:30,8:30 - 19:30,9:30 - 19:30,14:00 - 19:30,Moderato,Sì,Alcune,Numerosi,Sì,Sì - Torte artigianali,Sì,No,Parziale,No
Costadoro Coffee Lab,Caffetterie e Locali Study-Friendly,"Corso Vinzaglio, 33, 10121 Torino",Centro,+39 011 8004660,coffeelab@costadoro.it,https://costadoro.it/,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,07:00 - 20:00,08:00 - 20:00,09:00 - 19:00,Informale,Sì,Alcune,Numerosi,Sì,Sì - Caffè premium,Sì,No,Parziale,No
Costadoro Social Coffee Factory,Caffetterie e Locali Study-Friendly,"Via Teofilo Rossi di Montelera, 2, 10123 Torino",San Salvario,+39 011 0371020,coffeelab@costadoro.it,https://costadoro.it/,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,07:00 - 19:00,08:00 - 19:00,09:00 - 19:00,Informale,Sì,Alcune,Numerosi,Sì,Sì - Caffè premium,Sì,No,Parziale,No
C'entro Food Garden,Caffetterie e Locali Study-Friendly,"Via dell'Arcivescovado, 2, 10121 Torino",Centro,Consultare sito,Consultare sito,https://ascomtorino.it/,08:00 - 19:30,08:00 - 19:30,08:00 - 19:30,08:00 - 19:30,08:00 - 19:30,09:00 - 19:30,10:00 - 19:30,Moderato,Sì,Alcune,Numerosi,Sì,Sì - Biologico,Sì,No,Parziale,No
Talent Garden Fondazione Agnelli,Coworking e Spazi Flessibili,"Via Giuseppe Giacosa, 38, 10125 Torino",MonCalieri,+39 011 753 7985,Consultare sito,https://talentgarden.org/,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,Chiuso,Chiuso,Molto Silenzioso,Ultra veloce,Numerose,Numerosi,Sì,No,Sì,Sì,Sì,No
Copernico Garibaldi,Coworking e Spazi Flessibili,"Corso Valdocco, 2, 10123 Torino",Centro,Consultare sito,Consultare sito,https://www.coperni.co/it/torino/,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,Molto Silenzioso,Ultra veloce,Numerose,Numerosi,Sì,Sì - Lounge,Sì,Sì,Sì,Sì
Bliss Coworking,Coworking e Spazi Flessibili,"Via Valentino Carrera, 111B, 10156 Torino",Massaua,Consultare sito,Consultare sito,https://www.blisscoworking.it/,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,24/7 per membri,Molto Silenzioso,Ultra veloce,Numerose,Numerosi,Sì,No,Sì,Sì,Parziale,Sì
SmarTOwork,Coworking e Spazi Flessibili,"Via Varallo, 22, 10153 Torino",Lungo Po,+39 011 0467670,info@smartowork.it,https://www.smartowork.it/,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,Chiuso,Chiuso,Molto Silenzioso,Ultra veloce,Numerose,Numerosi,Sì,No,Sì,Sì,Sì,No
Poliedro Coworking,Coworking e Spazi Flessibili,"Corso Giacomo Matteotti, 11, 10121 Torino",Centro,Consultare sito,Consultare sito,https://poliedrocoworking.it/,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,Chiuso,Chiuso,Molto Silenzioso,Sì,Numerose,12 posti max,Sì,No,Sì,Parziale,Parziale,No
Toolbox Coworking,Coworking e Spazi Flessibili,"Via Agostino da Montefeltro, 2, 10134 Torino",San Salvario,+39 011 3157111,desk@toolboxcoworking.com,https://toolboxcoworking.com/,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,10:00 - 18:00,10:00 - 18:00,Moderato,Fibra ottica,Numerose,150+ postazioni,Sì,Sì - Interno,Sì,Gratuito - Interno,Sì,No
Toco Coworking,Coworking e Spazi Flessibili,"Via Brandizzo, 9, 10154 Torino",Barriera di Milano,Consultare sito,Consultare sito,https://www.toco-coworking.it/,24/7 per abbonati,24/7 per abbonati,24/7 per abbonati,24/7 per abbonati,24/7 per abbonati,24/7 per abbonati,24/7 per abbonati,Molto Silenzioso,Ultra veloce,Numerose,Ampie scrivanie,Ergonomiche,No,Sì,No,Parziale,Sì
Spazio Nuvola 9,Coworking e Spazi Flessibili,"Corso Moncalieri, 506/28, 10135 Torino",Cavoretto,Consultare sito,Consultare sito,https://www.spazionuvola9.it/,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,Chiuso,Chiuso,Molto Silenzioso,Sì,Numerose,Numerosi,Sì,No,Sì,Gratuito - Ampio,Sì,No
Spazio19 Coworking,Coworking e Spazi Flessibili,"Via Cesare Balbo, 19, 10124 Torino",Vanchiglia,+39 011 1982489,info@spazio19.it,https://spazio19.it/,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,10:00 - 16:00,Chiuso,Molto Silenzioso,Sì,Numerose,Numerosi,Sì,No,Sì,Parziale,Parziale,No
Parco del Valentino,Spazi Alternativi,"Lungo Po, San Salvario, 10123 Torino",San Salvario,Consultare comune,N/A,https://www.comune.torino.it/,24/7,24/7,24/7,24/7,24/7,24/7,24/7,Informale,No,No,Panchine,Panchine,Sì - Imbarchino,Sì,Sì,Parziale,Sì
